id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username
93,512.0,9,0.0,0.0,0.0,63.0,46805.0,do-not-conform-to-a-dying-society,do not conform to a dying society,lZ-1CTZ,001732.caafd7fd480e473d9b86f4005b416ec5.1331
113,560.0,123,22723.0,0.0,0.0,0.0,0.0,0,0,0,0
113,63.0,16,0.0,44792.0,0.0,0.0,0.0,0,0,0,0
113,171.0,5,0.0,0.0,51851.0,0.0,0.0,0,0,0,0
113,32.0,9,0.0,0.0,0.0,67.0,60864.0,0,0,0,0
114,583.0,123,22739.0,0.0,0.0,0.0,0.0,0,0,0,0
114,517.0,47,0.0,19866.0,0.0,0.0,0.0,0,0,0,0
114,1065.0,18,0.0,0.0,6631.0,0.0,0.0,0,0,0,0
115,151.0,123,22767.0,0.0,0.0,0.0,0.0,0,0,0,0
115,549.0,5,0.0,30223.0,0.0,0.0,0.0,0,0,0,0
115,658.0,5,0.0,0.0,27702.0,0.0,0.0,0,0,0,0
115,43.0,9,0.0,0.0,0.0,61.0,60906.0,0,0,0,0
116,151.0,124,47900.0,0.0,0.0,0.0,0.0,0,0,0,0
116,38.0,9,0.0,0.0,0.0,43.0,60910.0,0,0,0,0
130,583.0,125,28103.0,0.0,0.0,0.0,0.0,c4ac54fc138184c46b1c9657c1272e8e704c5b4a,,_sha8-S,000415.1022f93a88bf4a95be24f9e48c1174ce.2129
130,590.0,60,0.0,22907.0,0.0,0.0,0.0,c4ac54fc138184c46b1c9657c1272e8e704c5b4a,,_sha8-S,000415.1022f93a88bf4a95be24f9e48c1174ce.2129
130,1060.0,803,0.0,0.0,4829.0,0.0,0.0,c4ac54fc138184c46b1c9657c1272e8e704c5b4a,,_sha8-S,000415.1022f93a88bf4a95be24f9e48c1174ce.2129
130,415.0,1,0.0,0.0,0.0,63.0,81780.0,c4ac54fc138184c46b1c9657c1272e8e704c5b4a,,_sha8-S,000415.1022f93a88bf4a95be24f9e48c1174ce.2129
132,586.0,126,36428.0,0.0,0.0,0.0,0.0,52d96e16f5879dd69facb494772dd20f02ddb685,,2I_MUsT,000304.4317e53a29ba4e748f29a4b5606665f7.0313
132,586.0,61,0.0,37033.0,0.0,0.0,0.0,52d96e16f5879dd69facb494772dd20f02ddb685,,2I_MUsT,000304.4317e53a29ba4e748f29a4b5606665f7.0313
132,972.0,1,0.0,0.0,52572.0,0.0,0.0,52d96e16f5879dd69facb494772dd20f02ddb685,,2I_MUsT,000304.4317e53a29ba4e748f29a4b5606665f7.0313
132,436.0,18,0.0,0.0,0.0,28.0,7934.0,52d96e16f5879dd69facb494772dd20f02ddb685,,2I_MUsT,000304.4317e53a29ba4e748f29a4b5606665f7.0313
133,583.0,126,36449.0,0.0,0.0,0.0,0.0,3667b91672132a4f19d8023d269244c606e69ae5,,NLW8MpB,JORDANFLAMEZ23
133,590.0,61,0.0,37044.0,0.0,0.0,0.0,3667b91672132a4f19d8023d269244c606e69ae5,,NLW8MpB,JORDANFLAMEZ23
133,856.0,5,0.0,0.0,30273.0,0.0,0.0,3667b91672132a4f19d8023d269244c606e69ae5,,NLW8MpB,JORDANFLAMEZ23
133,16.0,18,0.0,0.0,0.0,29.0,7943.0,3667b91672132a4f19d8023d269244c606e69ae5,,NLW8MpB,JORDANFLAMEZ23
134,548.0,126,36468.0,0.0,0.0,0.0,0.0,0,0,0,0
134,583.0,61,0.0,37081.0,0.0,0.0,0.0,0,0,0,0
134,30.0,152,0.0,0.0,85840.0,0.0,0.0,0,0,0,0
134,154.0,18,0.0,0.0,0.0,55.0,7945.0,0,0,0,0
148,631.0,127,51507.0,0.0,0.0,0.0,0.0,363746f93f4be680142205169f22ce4d620d1cf9,,SuUE1Ib,nikhil
148,590.0,77,0.0,47608.0,0.0,0.0,0.0,363746f93f4be680142205169f22ce4d620d1cf9,,SuUE1Ib,nikhil
148,1147.0,1,0.0,0.0,47104.0,0.0,0.0,363746f93f4be680142205169f22ce4d620d1cf9,,SuUE1Ib,nikhil
148,50.0,9,0.0,0.0,0.0,67.0,35365.0,363746f93f4be680142205169f22ce4d620d1cf9,,SuUE1Ib,nikhil
149,588.0,127,51514.0,0.0,0.0,0.0,0.0,0,0,0,0
149,1145.0,1,0.0,0.0,47119.0,0.0,0.0,0,0,0,0
149,49.0,9,0.0,0.0,0.0,33.0,35384.0,0,0,0,0
150,151.0,127,51525.0,0.0,0.0,0.0,0.0,bb1049b0cb03164cd5b2c7bbc5d4da4c1c017968,,lcvWvm6,rajsingh181876
150,1142.0,1,0.0,0.0,47199.0,0.0,0.0,bb1049b0cb03164cd5b2c7bbc5d4da4c1c017968,,lcvWvm6,rajsingh181876
150,15.0,9,0.0,0.0,0.0,68.0,35748.0,bb1049b0cb03164cd5b2c7bbc5d4da4c1c017968,,lcvWvm6,rajsingh181876
151,629.0,127,51537.0,0.0,0.0,0.0,0.0,02b92417b73fdcbb87c8f54243475492290488d5,,bYgtWNG,deepanshu_01l0i0c9f
151,1141.0,1,0.0,0.0,47203.0,0.0,0.0,02b92417b73fdcbb87c8f54243475492290488d5,,bYgtWNG,deepanshu_01l0i0c9f
151,15.0,47,0.0,0.0,0.0,16.0,68613.0,02b92417b73fdcbb87c8f54243475492290488d5,,bYgtWNG,deepanshu_01l0i0c9f
171,151.0,128,64131.0,0.0,0.0,0.0,0.0,969190dab2cf0611e3af52cacc69b6492a74175b,,mkadaO7,m4qq6bkj9b_08i8f3c1l
171,606.0,18,0.0,74820.0,0.0,0.0,0.0,969190dab2cf0611e3af52cacc69b6492a74175b,,mkadaO7,m4qq6bkj9b_08i8f3c1l
171,1312.0,1010,0.0,0.0,42636.0,0.0,0.0,969190dab2cf0611e3af52cacc69b6492a74175b,,mkadaO7,m4qq6bkj9b_08i8f3c1l
181,626.0,130,77368.0,0.0,0.0,0.0,0.0,0,0,0,0
181,546.0,18,0.0,24977.0,0.0,0.0,0.0,0,0,0,0
181,137.0,9,0.0,0.0,0.0,49.0,39702.0,0,0,0,0
182,617.0,130,77404.0,0.0,0.0,0.0,0.0,0,0,0,0
182,551.0,18,0.0,60288.0,0.0,0.0,0.0,0,0,0,0
182,135.0,9,0.0,0.0,0.0,73.0,39705.0,0,0,0,0
183,590.0,131,82305.0,0.0,0.0,0.0,0.0,0,0,0,0
183,549.0,18,0.0,60289.0,0.0,0.0,0.0,0,0,0,0
183,696.0,1,0.0,0.0,41699.0,0.0,0.0,0,0,0,0
183,133.0,9,0.0,0.0,0.0,63.0,39708.0,0,0,0,0
