id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username,engagement_score,normalized_score,mood_score,mood
43,154.0,9,0.0,0.0,0.0,47.0,67508.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330,13501.800000000001,0.5220672961665468,0.0,Negative
44,556.0,118,70117.0,0.0,0.0,0.0,0.0,escape-the-matrix2,escape the matrix,eKM88YS,tarak,21035.3,0.8133656590028536,0.0,Negative
44,143.0,18,0.0,0.0,79051.0,0.0,0.0,escape-the-matrix2,escape the matrix,eKM88YS,tarak,0.2,0.0,0.0,Negative
44,560.0,9,0.0,0.0,0.0,79.0,40192.0,escape-the-matrix2,escape the matrix,eKM88YS,tarak,8038.6,0.31082136587553844,0.0,Negative
45,151.0,118,70137.0,0.0,0.0,0.0,0.0,0,0,0,0,21041.3,0.8135976614156787,0.0,Negative
45,190.0,5,0.0,13841.0,0.0,0.0,0.0,0,0,0,0,4152.5,0.16055726979560586,0.0,Negative
45,19.0,18,0.0,0.0,35717.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
47,159.0,47,78095.0,0.0,0.0,0.0,0.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj,23428.7,0.9059114214787833,0.0,Negative
47,177.0,5,0.0,13874.0,0.0,0.0,0.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj,4162.4,0.16094007377676725,0.0,Negative
47,154.0,18,0.0,0.0,25934.0,0.0,0.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj,0.2,0.0,0.0,Negative
47,727.0,9,0.0,0.0,0.0,42.0,47455.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj,9491.2,0.3669891500204936,0.0,Negative
48,143.0,47,78113.0,0.0,0.0,0.0,0.0,0,0,0,0,23434.1,0.9061202236503259,0.0,Negative
